Episode 48 | Reward -21.0 | Avg5 -20.4
Episode 49 | Reward -21.0 | Avg5 -20.4
Episode 50 | Reward -21.0 | Avg5 -20.6
Episode 51 | Reward -20.0 | Avg5 -20.6
Episode 52 | Reward -21.0 | Avg5 -20.8
Episode 53 | Reward -20.0 | Avg5 -20.6
Episode 54 | Reward -21.0 | Avg5 -20.6
Episode 55 | Reward -21.0 | Avg5 -20.6
Episode 56 | Reward -19.0 | Avg5 -20.4
Episode 57 | Reward -20.0 | Avg5 -20.2
Episode 58 | Reward -21.0 | Avg5 -20.4
Episode 59 | Reward -20.0 | Avg5 -20.2
Episode 60 | Reward -21.0 | Avg5 -20.2
Episode 61 | Reward -21.0 | Avg5 -20.6
Episode 62 | Reward -20.0 | Avg5 -20.6
Episode 63 | Reward -20.0 | Avg5 -20.4
Episode 64 | Reward -21.0 | Avg5 -20.6
Episode 65 | Reward -20.0 | Avg5 -20.4
Episode 66 | Reward -21.0 | Avg5 -20.4
Episode 67 | Reward -19.0 | Avg5 -20.2
Episode 68 | Reward -20.0 | Avg5 -20.2
Episode 69 | Reward -20.0 | Avg5 -20.0
Episode 70 | Reward -19.0 | Avg5 -19.8
Episode 71 | Reward -21.0 | Avg5 -19.8
Episode 72 | Reward -21.0 | Avg5 -20.2
Episode 73 | Reward -21.0 | Avg5 -20.4
Episode 74 | Reward -21.0 | Avg5 -20.6
Episode 75 | Reward -20.0 | Avg5 -20.8
Episode 76 | Reward -19.0 | Avg5 -20.4
Episode 77 | Reward -21.0 | Avg5 -20.4
Episode 78 | Reward -19.0 | Avg5 -20.0
Episode 79 | Reward -20.0 | Avg5 -19.8
Episode 80 | Reward -21.0 | Avg5 -20.0
Episode 81 | Reward -21.0 | Avg5 -20.4
Episode 82 | Reward -21.0 | Avg5 -20.4
Episode 83 | Reward -21.0 | Avg5 -20.8
Episode 84 | Reward -21.0 | Avg5 -21.0
Episode 85 | Reward -21.0 | Avg5 -21.0
Episode 86 | Reward -21.0 | Avg5 -21.0
Episode 87 | Reward -20.0 | Avg5 -20.8
Episode 88 | Reward -21.0 | Avg5 -20.8
Episode 89 | Reward -19.0 | Avg5 -20.4
Episode 90 | Reward -21.0 | Avg5 -20.4
Episode 91 | Reward -20.0 | Avg5 -20.2
Episode 92 | Reward -21.0 | Avg5 -20.4
Episode 93 | Reward -19.0 | Avg5 -20.0
Episode 94 | Reward -20.0 | Avg5 -20.2
Episode 95 | Reward -20.0 | Avg5 -20.0
Episode 96 | Reward -18.0 | Avg5 -19.6
Episode 97 | Reward -21.0 | Avg5 -19.6
Episode 98 | Reward -19.0 | Avg5 -19.6
Episode 99 | Reward -19.0 | Avg5 -19.4
Episode 100 | Reward -20.0 | Avg5 -19.4
Episode 101 | Reward -18.0 | Avg5 -19.4
Episode 102 | Reward -18.0 | Avg5 -18.8
Episode 103 | Reward -19.0 | Avg5 -18.8
Episode 104 | Reward -21.0 | Avg5 -19.2
Episode 105 | Reward -20.0 | Avg5 -19.2
Episode 106 | Reward -21.0 | Avg5 -19.8
Episode 107 | Reward -20.0 | Avg5 -20.2
Episode 108 | Reward -20.0 | Avg5 -20.4
Episode 109 | Reward -21.0 | Avg5 -20.4
Episode 110 | Reward -19.0 | Avg5 -20.2
Episode 111 | Reward -19.0 | Avg5 -19.8
Episode 112 | Reward -21.0 | Avg5 -20.0
Episode 113 | Reward -21.0 | Avg5 -20.2
Episode 114 | Reward -20.0 | Avg5 -20.0
Episode 115 | Reward -20.0 | Avg5 -20.2
Episode 116 | Reward -21.0 | Avg5 -20.6
Episode 117 | Reward -20.0 | Avg5 -20.4
Episode 118 | Reward -19.0 | Avg5 -20.0
Episode 119 | Reward -21.0 | Avg5 -20.2
Episode 120 | Reward -20.0 | Avg5 -20.2
Episode 121 | Reward -18.0 | Avg5 -19.6
Episode 122 | Reward -21.0 | Avg5 -19.8
Episode 123 | Reward -20.0 | Avg5 -20.0
Episode 124 | Reward -19.0 | Avg5 -19.6
Episode 125 | Reward -19.0 | Avg5 -19.4
Episode 126 | Reward -21.0 | Avg5 -20.0
Episode 127 | Reward -21.0 | Avg5 -20.0
Episode 128 | Reward -18.0 | Avg5 -19.6
Episode 129 | Reward -20.0 | Avg5 -19.8
Episode 130 | Reward -20.0 | Avg5 -20.0
Episode 131 | Reward -20.0 | Avg5 -19.8
Episode 132 | Reward -18.0 | Avg5 -19.2
Episode 133 | Reward -20.0 | Avg5 -19.6
Episode 134 | Reward -20.0 | Avg5 -19.6
Episode 135 | Reward -19.0 | Avg5 -19.4
Episode 136 | Reward -19.0 | Avg5 -19.2
Episode 137 | Reward -19.0 | Avg5 -19.4
Episode 138 | Reward -20.0 | Avg5 -19.4
Episode 139 | Reward -19.0 | Avg5 -19.2
Episode 140 | Reward -21.0 | Avg5 -19.6
Episode 141 | Reward -20.0 | Avg5 -19.8
Episode 142 | Reward -21.0 | Avg5 -20.2
Episode 143 | Reward -19.0 | Avg5 -20.0
Episode 144 | Reward -18.0 | Avg5 -19.8
Episode 145 | Reward -19.0 | Avg5 -19.4
Episode 146 | Reward -17.0 | Avg5 -18.8
Episode 147 | Reward -16.0 | Avg5 -17.8
Episode 148 | Reward -19.0 | Avg5 -17.8
Episode 149 | Reward -13.0 | Avg5 -16.8
Episode 150 | Reward -19.0 | Avg5 -16.8
Episode 151 | Reward -18.0 | Avg5 -17.0
Episode 152 | Reward -15.0 | Avg5 -16.8
Episode 153 | Reward -13.0 | Avg5 -15.6
Episode 154 | Reward -15.0 | Avg5 -16.0
Episode 155 | Reward -15.0 | Avg5 -15.2
Episode 156 | Reward -16.0 | Avg5 -14.8
Episode 157 | Reward -16.0 | Avg5 -15.0
Episode 158 | Reward -16.0 | Avg5 -15.6
